date,time,open,high,low,close,volume
2017/1/13,3:00,19045,19085,19040,19075,8750
2017/1/13,3:15,19075,19100,19060,19070,4806
2017/1/13,3:30,19070,19100,19065,19090,3130
2017/1/13,3:45,19095,19115,19090,19105,3279
2017/1/13,4:00,19105,19110,19090,19095,2026
2017/1/13,4:15,19095,19115,19095,19115,1528
2017/1/13,4:30,19115,19145,19110,19140,3493
2017/1/13,4:45,19140,19165,19130,19160,4391
2017/1/13,5:00,19165,19165,19145,19150,2908
2017/1/13,5:15,19145,19155,19125,19135,2981
2017/1/13,5:30,19150,19150,19150,19150,2505
2017/1/13,8:45,19195,19210,19160,19165,28233
2017/1/13,9:00,19170,19235,19135,19225,47970
